Choice_ID,Complexity,Duration,Improvement_Plan,Question_ID,Risk
perf_tradeoffs_performance_measure,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_tradeoffs_performance_measure.html,tradeoffs-performance,Medium
rel_planning_for_recovery_auto_recovery,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_planning_for_recovery_auto_recovery.html,planning-for-recovery,Medium
sec_data_classification_lifecycle_management,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_data_classification_lifecycle_management.html,data-classification,Medium
sec_permissions_share_securely_third_party,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_permissions_share_securely_third_party.html,permissions,Medium
ops_event_response_push_notify,Low,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_event_response_push_notify.html,event-response,Medium
ops_evolve_ops_feedback_loops,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_evolve_ops_feedback_loops.html,evolve-ops,High
ops_org_culture_effective_comms,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_effective_comms.html,org-culture,High
sec_protect_data_transit_key_cert_mgmt,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_transit_key_cert_mgmt.html,protect-data-transit,High
sec_protect_data_rest_access_control,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_rest_access_control.html,protect-data-rest,Medium
sec_incident_response_identify_personnel,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_incident_response_identify_personnel.html,incident-response,High
rel_mitigate_interaction_failure_throttle_requests,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_throttle_requests.html,mitigate-interaction-failure,High
perf_performing_architecture_process,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_performing_architecture_process.html,performing-architecture,Medium
rel_prevent_interaction_failure_constant_work,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_prevent_interaction_failure_constant_work.html,prevent-interaction-failure,Medium
ops_workload_observability_create_alerts,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_observability_create_alerts.html,workload-observability,High
rel_tracking_change_management_automated_changemgmt,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_tracking_change_management_automated_changemgmt.html,tracking-change-management,Medium
sec_permissions_lifecycle,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_permissions_lifecycle.html,permissions,Medium
perf_process_culture_establish_key_performance_indicators,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_process_culture_establish_key_performance_indicators.html,process-culture,High
rel_backing_up_data_identified_backups_data,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_backing_up_data_identified_backups_data.html,backing-up-data,High
sus_sus_data_a7,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_data_a7.html,sus_data,Medium
cost_govern_usage_controls,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_govern_usage_controls.html,govern-usage,Medium
perf_architecture_understand_cloud_services_and_features,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_architecture_understand_cloud_services_and_features.html,performing-architecture,High
cost_monitor_usage_detailed_source,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_monitor_usage_detailed_source.html,monitor-usage,High
sec_protect_compute_reduce_surface,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_compute_reduce_surface.html,protect-compute,High
rel_manage_service_limits_limits_considered,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_manage_service_limits_limits_considered.html,manage-service-limits,High
ops_org_culture_diverse_inc_access,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_diverse_inc_access.html,org-culture,Low
perf_monitor_instances_post_launch_record_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_monitor_instances_post_launch_record_metrics.html,monitor-instances-post-launch,Medium
rel_mitigate_interaction_failure_fail_fast,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_fail_fast.html,mitigate-interaction-failure,High
cost_cloud_financial_management_culture,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_cloud_financial_management_culture.html,cloud-financial-management,Low
ops_workload_health_workload_metric_baselines,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_health_workload_metric_baselines.html,workload-health,Medium
rel_prevent_interaction_failure_idempotent,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_prevent_interaction_failure_idempotent.html,prevent-interaction-failure,Medium
perf_networking_optimize_network_configuration_based_on_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_networking_optimize_network_configuration_based_on_metrics.html,networking,Low
ops_workload_observability_analyze_workload_traces,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_observability_analyze_workload_traces.html,workload-observability,Medium
sec_permissions_analyze_cross_account,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_permissions_analyze_cross_account.html,permissions,Medium
ops_workload_health_design_workload_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_health_design_workload_metrics.html,workload-health,High
sec_detect_investigate_events_analyze_all,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_detect_investigate_events_analyze_all.html,detect-investigate-events,High
ops_dev_integ_patch_mgmt,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_dev_integ_patch_mgmt.html,dev-integ,Medium
perf_compute_hardware_scale_compute_resources_dynamically,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_compute_hardware_scale_compute_resources_dynamically.html,compute-hardware,High
cost_manage_demand_resources_buffer_throttle,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_manage_demand_resources_buffer_throttle.html,manage-demand-resources,Medium
ops_observability_customer_telemetry,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_observability_customer_telemetry.html,observability,High
cost_govern_usage_goal_target,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_govern_usage_goal_target.html,govern-usage,High
rel_manage_service_limits_aware_fixed_limits,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_manage_service_limits_aware_fixed_limits.html,manage-service-limits,Medium
cost_type_size_number_resources_cost_modeling,High,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_type_size_number_resources_cost_modeling.html,type-size-number-resources,High
sec_network_protection_auto_protect,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_network_protection_auto_protect.html,network-protection,Low
sus_sus_dev_a4,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_dev_a4.html,sus_dev,Low
perf_networking_choose_workload_location_network_requirements,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_networking_choose_workload_location_network_requirements.html,networking,Medium
ops_org_culture_team_enc_experiment,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_team_enc_experiment.html,org-culture,Medium
ops_telemetry_workload_telemetry,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_telemetry_workload_telemetry.html,telemetry,High
rel_monitor_aws_resources_automate_response_monitor,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_monitor_aws_resources_automate_response_monitor.html,monitor-aws-resources,Medium
ops_operations_health_review_ops_metrics_prioritize_improvement,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_operations_health_review_ops_metrics_prioritize_improvement.html,operations-health,Medium
cost_type_size_number_resources_shared,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_type_size_number_resources_shared.html,type-size-number-resources,Medium
sus_sus_user_a2,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_user_a2.html,sus_user,Medium
sus_sus_hardware_a5,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_hardware_a5.html,sus_hardware,Medium
ops_operations_health_measure_ops_goals_kpis,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_operations_health_measure_ops_goals_kpis.html,operations-health,Medium
ops_ops_model_req_add_chg_exception,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ops_model_req_add_chg_exception.html,ops-model,Medium
sus_sus_data_a8,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_data_a8.html,sus_data,Medium
ops_dev_integ_version_control,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_dev_integ_version_control.html,dev-integ,High
sec_protect_compute_hardened_images,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_compute_hardened_images.html,protect-compute,High
ops_evolve_ops_perform_rca_process,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_evolve_ops_perform_rca_process.html,evolve-ops,High
ops_ops_model_def_neg_team_agreements,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ops_model_def_neg_team_agreements.html,ops-model,Low
perf_right_database_solution_understand_char,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_right_database_solution_understand_char.html,right-database-solution,Low
ops_ops_model_find_owner,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ops_model_find_owner.html,ops-model,High
ops_org_culture_team_enc_escalation,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_team_enc_escalation.html,org-culture,High
sec_securely_operate_updated_recommendations,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_securely_operate_updated_recommendations.html,securely-operate,High
ops_observability_dependency_telemetry,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_observability_dependency_telemetry.html,observability,High
ops_priorities_compliance_reqs,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_priorities_compliance_reqs.html,priorities,High
sec_incident_response_establish_incident_framework,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_incident_response_establish_incident_framework.html,incident-response,Medium
perf_select_network_evaluate_features,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_network_evaluate_features.html,select-network,High
ops_workload_observability_analyze_workload_metrics,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_observability_analyze_workload_metrics.html,workload-observability,Medium
rel_fault_isolation_use_bulkhead,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_fault_isolation_use_bulkhead.html,fault-isolation,High
sec_detect_investigate_events_noncompliant_resources,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_detect_investigate_events_noncompliant_resources.html,detect-investigate-events,Medium
cost_govern_usage_policies,High,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_govern_usage_policies.html,govern-usage,High
sec_protect_compute_reduce_manual_management,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_compute_reduce_manual_management.html,protect-compute,Medium
rel_service_architecture_business_domains,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_service_architecture_business_domains.html,service-architecture,High
perf_select_compute_evaluate_options,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_compute_evaluate_options.html,select-compute,Medium
ops_workload_health_workload_anomaly_alerts,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_health_workload_anomaly_alerts.html,workload-health,Medium
cost_monitor_usage_org_information,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_monitor_usage_org_information.html,monitor-usage,Medium
sec_appsec_centralize_services_for_packages_and_dependencies,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_appsec_centralize_services_for_packages_and_dependencies.html,application-security,Medium
ops_mit_deploy_risks_deploy_mgmt_sys,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_mit_deploy_risks_deploy_mgmt_sys.html,mit-deploy-risks,Medium
sec_detect_investigate_events_app_service_logging,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_detect_investigate_events_app_service_logging.html,detect-investigate-events,High
ops_evolve_ops_validate_insights,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_evolve_ops_validate_insights.html,evolve-ops,Medium
sec_identities_secrets,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_identities_secrets.html,identities,High
sus_sus_dev_a3,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_dev_a3.html,sus_dev,Low
ops_observability_dist_trace,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_observability_dist_trace.html,observability,High
cost_data_transfer_modeling,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_data_transfer_modeling.html,data-transfer,High
ops_ready_to_support_informed_deploy_decisions,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ready_to_support_informed_deploy_decisions.html,ready-to-support,Low
sec_protect_data_rest_use_people_away,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_rest_use_people_away.html,protect-data-rest,Medium
cost_pricing_model_analysis,High,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_pricing_model_analysis.html,pricing-model,Low
sus_sus_data_a5,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_data_a5.html,sus_data,Medium
cost_monitor_usage_config_tools,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_monitor_usage_config_tools.html,monitor-usage,High
cost_manage_demand_resources_dynamic,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_manage_demand_resources_dynamic.html,manage-demand-resources,Medium
perf_select_network_protocols,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_network_protocols.html,select-network,Medium
ops_dev_integ_share_design_stds,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_dev_integ_share_design_stds.html,dev-integ,Medium
perf_select_compute_elasticity,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_compute_elasticity.html,select-compute,Medium
rel_withstand_component_failures_failover2good,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_withstand_component_failures_failover2good.html,withstand-component-failures,High
perf_right_storage_solution_evaluated_options,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_right_storage_solution_evaluated_options.html,right-storage-solution,Medium
sec_permissions_share_securely,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_permissions_share_securely.html,permissions,Medium
perf_right_storage_solution_optimize_patterns,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_right_storage_solution_optimize_patterns.html,right-storage-solution,Medium
ops_mit_deploy_risks_plan_for_unsucessful_changes,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_mit_deploy_risks_plan_for_unsucessful_changes.html,mit-deploy-risks,High
rel_mitigate_interaction_failure_client_timeouts,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_client_timeouts.html,mitigate-interaction-failure,High
perf_architecture_use_policies_and_reference_architectures,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_architecture_use_policies_and_reference_architectures.html,performing-architecture,Medium
sec_protect_data_rest_encrypt,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_rest_encrypt.html,protect-data-rest,High
ops_org_culture_team_enc_learn,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_team_enc_learn.html,org-culture,Medium
rel_mitigate_interaction_failure_graceful_degradation,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_graceful_degradation.html,mitigate-interaction-failure,High
rel_mitigate_interaction_failure_emergency_levers,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_emergency_levers.html,mitigate-interaction-failure,Medium
ops_operations_health_communicate_status_trends,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_operations_health_communicate_status_trends.html,operations-health,Medium
rel_planning_for_recovery_objective_defined_recovery,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_planning_for_recovery_objective_defined_recovery.html,planning-for-recovery,High
sus_sus_data_a3,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_data_a3.html,sus_data,Low
ops_operations_health_design_ops_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_operations_health_design_ops_metrics.html,operations-health,Medium
sus_sus_dev_a5,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_dev_a5.html,sus_dev,Low
sec_appsec_automate_testing_throughout_lifecycle,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_appsec_automate_testing_throughout_lifecycle.html,application-security,Medium
perf_process_culture_keep_workload_and_services_up_to_date,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_process_culture_keep_workload_and_services_up_to_date.html,process-culture,Low
rel_manage_service_limits_automated_monitor_limits,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_manage_service_limits_automated_monitor_limits.html,manage-service-limits,Medium
sec_identities_unique,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_identities_unique.html,identities,High
sec_protect_data_transit_authentication,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_data_transit_authentication.html,protect-data-transit,Medium
perf_continue_having_appropriate_resource_type_keep_up_to_date,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_continue_having_appropriate_resource_type_keep_up_to_date.html,continue-having-appropriate-resource-type,Low
ops_priorities_ext_cust_needs,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_priorities_ext_cust_needs.html,priorities,High
sus_sus_dev_a2,Medium,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_dev_a2.html,sus_dev,Medium
rel_withstand_component_failures_notifications_sent_system,High,High,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_withstand_component_failures_notifications_sent_system.html,withstand-component-failures,Medium
perf_select_compute_right_sizing,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_compute_right_sizing.html,select-compute,Medium
sus_sus_user_a4,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_user_a4.html,sus_user,Low
perf_data_collect_record_data_store_performance_metrics,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_data_collect_record_data_store_performance_metrics.html,data-management,High
ops_dev_integ_multi_env,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_dev_integ_multi_env.html,dev-integ,Medium
perf_networking_evaluate_networking_features,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_networking_evaluate_networking_features.html,networking,High
cost_cloud_financial_management_scheduled,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_cloud_financial_management_scheduled.html,cloud-financial-management,Medium
ops_workload_observability_create_dashboards,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_workload_observability_create_dashboards.html,workload-observability,Medium
ops_ready_to_support_use_playbooks,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ready_to_support_use_playbooks.html,ready-to-support,Medium
ops_org_culture_team_res_appro,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_org_culture_team_res_appro.html,org-culture,Medium
sec_identities_enforce_mechanisms,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_identities_enforce_mechanisms.html,identities,High
cost_pricing_model_implement_models,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_pricing_model_implement_models.html,pricing-model,Medium
perf_select_network_optimize,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_select_network_optimize.html,select-network,Low
sus_sus_software_a6,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_software_a6.html,sus_software,Medium
sus_sus_software_a3,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_software_a3.html,sus_software,Medium
perf_compute_hardware_compute_accelerators,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_compute_hardware_compute_accelerators.html,compute-hardware,Medium
cost_pricing_model_third_party,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_pricing_model_third_party.html,pricing-model,Medium
cost_monitor_usage_define_kpi,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_monitor_usage_define_kpi.html,monitor-usage,High
sec_protect_compute_implement_managed_services,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_protect_compute_implement_managed_services.html,protect-compute,Low
cost_select_service_select_for_cost,Medium,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_select_service_select_for_cost.html,select-service,Medium
sus_sus_user_a5,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sus_sus_user_a5.html,sus_user,Medium
ops_ops_model_def_responsibilities_ownership,Low,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/ops_ops_model_def_responsibilities_ownership.html,ops-model,High
perf_tradeoffs_performance_understand_impact,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_tradeoffs_performance_understand_impact.html,tradeoffs-performance,Medium
perf_monitor_instances_post_launch_proactive,High,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/perf_monitor_instances_post_launch_proactive.html,monitor-instances-post-launch,Medium
rel_adapt_to_changes_reactive_adapt_auto,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_adapt_to_changes_reactive_adapt_auto.html,adapt-to-changes,Medium
cost_cloud_financial_management_usage_report,Low,Low,https://docs.aws.amazon.com/wellarchitected/latest/framework/cost_cloud_financial_management_usage_report.html,cloud-financial-management,Medium
sec_securely_operate_multi_accounts,Medium,Medium,https://docs.aws.amazon.com/wellarchitected/latest/framework/sec_securely_operate_multi_accounts.html,securely-operate,High
